trajectory_id,time (UTC),latitude (degrees_north),sst (degree_C),location_quality,longitude (degrees_east)
206903,2022-02-16T12:36:00Z,56.124,4.32,1,-152.291
206903,2022-02-16T14:15:00Z,56.127,4.32,2,-152.321
206903,2022-02-16T15:54:00Z,56.108,4.32,2,-152.357
206903,2022-02-16T16:09:00Z,56.11,4.32,2,-152.354
206903,2022-02-16T16:16:00Z,56.103,4.32,3,-152.367
206903,2022-02-16T16:41:00Z,56.1,4.32,1,-152.379
206903,2022-02-16T17:40:00Z,56.095,4.32,1,-152.382
206903,2022-02-16T17:45:00Z,56.093,4.32,3,-152.388
206903,2022-02-16T18:22:00Z,56.091,4.32,1,-152.437
206903,2022-02-16T19:28:00Z,56.073,4.32,2,-152.406
206903,2022-02-16T19:37:00Z,56.077,4.32,2,-152.421
206903,2022-02-16T19:47:00Z,56.069,4.32,2,-152.426
206903,2022-02-16T20:03:00Z,56.066,4.32,2,-152.414
206903,2022-02-16T21:26:00Z,56.054,4.32,2,-152.451
206903,2022-02-16T22:54:00Z,56.043,4.32,1,-152.528
206903,2022-02-16T23:11:00Z,56.03,4.32,1,-152.489
206903,2022-02-17T02:03:00Z,56.012,4.36,3,-152.546
206903,2022-02-17T02:19:00Z,56.021,4.32,1,-152.555
206903,2022-02-17T03:36:00Z,56.012,4.32,3,-152.581
206903,2022-02-17T03:43:00Z,56.005,4.32,2,-152.586
206903,2022-02-17T03:51:00Z,56.002,4.32,1,-152.588
206903,2022-02-17T04:07:00Z,56.004,4.32,2,-152.59
206903,2022-02-17T05:11:00Z,55.998,4.32,2,-152.617
206903,2022-02-17T05:22:00Z,55.998,4.32,1,-152.616
206903,2022-02-17T05:40:00Z,55.993,4.32,3,-152.623
206903,2022-02-17T05:44:00Z,55.992,4.32,2,-152.625
206903,2022-02-17T06:47:00Z,55.987,4.32,2,-152.633
206903,2022-02-17T07:21:00Z,55.978,4.32,1,-152.65
206903,2022-02-17T08:51:00Z,55.958,4.32,1,-152.69
206903,2022-02-17T09:05:00Z,55.964,4.32,2,-152.68
206903,2022-02-17T13:45:00Z,55.917,4.32,2,-152.789
206903,2022-02-17T14:24:00Z,55.908,4.32,3,-152.821
206903,2022-02-17T15:56:00Z,55.891,4.32,1,-152.863
206903,2022-02-17T16:00:00Z,55.895,4.32,3,-152.854
206903,2022-02-17T17:06:00Z,55.888,4.32,3,-152.877
206903,2022-02-17T18:00:00Z,55.883,4.32,2,-152.895
206903,2022-02-17T19:13:00Z,55.867,4.32,2,-152.92
206903,2022-02-17T19:14:00Z,55.864,4.32,2,-152.906
206903,2022-02-17T19:40:00Z,55.862,4.32,3,-152.91
206903,2022-02-17T19:36:00Z,55.866,4.32,3,-152.925
206903,2022-02-17T20:52:00Z,55.836,4.32,2,-152.932
206903,2022-02-18T01:52:00Z,55.771,4.32,1,-153.078
206903,2022-02-18T02:06:00Z,55.763,4.32,1,-153.07
206903,2022-02-18T03:22:00Z,55.761,4.32,1,-153.114
206903,2022-02-18T03:30:00Z,55.763,4.32,2,-153.123
206903,2022-02-18T03:43:00Z,55.762,4.32,2,-153.131
206903,2022-02-18T03:52:00Z,55.761,4.32,2,-153.131
206903,2022-02-18T05:06:00Z,55.751,4.32,1,-153.149
206903,2022-02-18T05:09:00Z,55.754,4.32,1,-153.16
206903,2022-02-18T05:53:00Z,55.751,4.28,2,-153.144
206903,2022-02-18T06:51:00Z,55.738,4.28,2,-153.183
206903,2022-02-18T07:01:00Z,55.743,4.28,1,-153.174
206903,2022-02-18T07:09:00Z,55.737,4.28,2,-153.185
206903,2022-02-18T07:08:00Z,55.74,4.28,1,-153.167
206903,2022-02-18T07:32:00Z,55.735,4.28,1,-153.188
206903,2022-02-18T08:23:00Z,55.726,4.28,3,-153.215
206903,2022-02-18T08:52:00Z,55.723,4.28,1,-153.21
206903,2022-02-18T14:49:00Z,55.646,4.24,1,-153.346
206903,2022-02-18T16:31:00Z,55.636,4.2,2,-153.401
206903,2022-02-18T17:23:00Z,55.629,4.2,3,-153.414
206903,2022-02-18T17:35:00Z,55.631,4.2,2,-153.416
206903,2022-02-18T19:07:00Z,55.617,4.2,2,-153.453
206903,2022-02-18T19:17:00Z,55.622,4.2,1,-153.446
206903,2022-02-18T19:26:00Z,55.613,4.2,1,-153.458
206903,2022-02-18T20:44:00Z,55.606,4.2,2,-153.445
206903,2022-02-18T21:04:00Z,55.612,4.2,1,-153.448
206903,2022-02-18T21:22:00Z,55.613,4.2,2,-153.468
206903,2022-02-18T22:44:00Z,55.596,4.2,2,-153.486
206903,2022-02-19T03:06:00Z,55.563,4.16,2,-153.575
206903,2022-02-19T03:09:00Z,55.567,4.16,1,-153.582
206903,2022-02-19T03:19:00Z,55.555,4.16,2,-153.576
206903,2022-02-19T03:21:00Z,55.554,4.16,2,-153.576
206903,2022-02-19T04:34:00Z,55.546,4.16,2,-153.615
206903,2022-02-19T04:41:00Z,55.547,4.16,1,-153.615
206903,2022-02-19T04:45:00Z,55.546,4.16,2,-153.609
206903,2022-02-19T05:05:00Z,55.542,4.16,1,-153.623
206903,2022-02-19T04:56:00Z,55.538,4.16,2,-153.645
206903,2022-02-19T05:19:00Z,55.54,4.16,3,-153.626
206903,2022-02-19T06:22:00Z,55.533,4.16,2,-153.656
206903,2022-02-19T06:45:00Z,55.534,4.16,2,-153.65
206903,2022-02-19T06:39:00Z,55.534,4.16,3,-153.65
206903,2022-02-19T06:56:00Z,55.529,4.16,1,-153.65
206903,2022-02-19T08:04:00Z,55.524,4.16,2,-153.668
206903,2022-02-19T08:46:00Z,55.52,4.16,1,-153.687
206903,2022-02-19T13:55:00Z,55.476,4.12,3,-153.759
206903,2022-02-19T15:57:00Z,55.457,4.12,2,-153.802
206903,2022-02-19T17:12:00Z,55.45,4.12,2,-153.83
206903,2022-02-19T18:32:00Z,55.436,4.16,2,-153.851
206903,2022-02-19T18:51:00Z,55.433,4.16,1,-153.844
206903,2022-02-19T20:11:00Z,55.423,4.2,1,-153.873
206903,2022-02-19T20:25:00Z,55.416,4.2,2,-153.871
