trajectory_id,time (UTC),latitude (degrees_north),sst (degree_C),location_quality,longitude (degrees_east)
199996,2022-02-15T13:09:00Z,56.427,4.72,1,-152.049
199996,2022-02-15T13:27:00Z,56.433,4.72,2,-152.057
199996,2022-02-15T14:48:00Z,56.413,4.68,1,-152.081
199996,2022-02-15T15:01:00Z,56.411,4.68,2,-152.085
199996,2022-02-15T15:29:00Z,56.411,4.68,NaN,-152.085
199996,2022-02-15T16:18:00Z,56.392,4.68,2,-152.134
199996,2022-02-15T16:31:00Z,56.381,4.68,2,-152.13
199996,2022-02-15T16:25:00Z,56.383,4.68,3,-152.13
199996,2022-02-15T17:05:00Z,56.375,4.68,2,-152.142
199996,2022-02-15T17:58:00Z,56.36,4.68,2,-152.161
199996,2022-02-15T18:18:00Z,56.357,4.68,2,-152.175
199996,2022-02-15T18:23:00Z,56.357,4.68,1,-152.168
199996,2022-02-15T18:45:00Z,56.346,4.68,2,-152.17
199996,2022-02-15T19:39:00Z,56.332,4.68,3,-152.193
199996,2022-02-15T19:58:00Z,56.328,4.68,3,-152.203
199996,2022-02-15T20:25:00Z,56.329,4.68,NaN,-152.21
199996,2022-02-15T20:43:00Z,56.311,4.68,1,-152.205
199996,2022-02-15T21:20:00Z,56.308,4.68,3,-152.229
199996,2022-02-15T21:34:00Z,56.3,4.68,3,-152.234
199996,2022-02-15T21:38:00Z,56.3,4.68,3,-152.235
199996,2022-02-15T22:06:00Z,56.296,4.68,NaN,-152.248
199996,2022-02-15T23:20:00Z,56.271,4.68,2,-152.281
199996,2022-02-16T00:40:00Z,56.257,4.68,NaN,-152.323
199996,2022-02-16T01:20:00Z,56.247,4.72,NaN,-152.352
199996,2022-02-16T02:35:00Z,56.222,4.68,NaN,-152.372
199996,2022-02-16T02:38:00Z,56.223,4.68,NaN,-152.37
199996,2022-02-16T02:51:00Z,56.213,4.68,2,-152.388
199996,2022-02-16T02:54:00Z,56.219,4.68,2,-152.386
199996,2022-02-16T03:52:00Z,56.209,4.68,2,-152.415
199996,2022-02-16T04:08:00Z,56.209,4.68,3,-152.421
199996,2022-02-16T04:15:00Z,56.21,4.68,1,-152.425
199996,2022-02-16T04:31:00Z,56.201,4.68,3,-152.434
199996,2022-02-16T04:41:00Z,56.203,4.68,2,-152.432
199996,2022-02-16T05:27:00Z,56.194,4.68,3,-152.458
199996,2022-02-16T05:34:00Z,56.19,4.68,2,-152.464
199996,2022-02-16T05:48:00Z,56.188,4.68,2,-152.465
199996,2022-02-16T05:55:00Z,56.189,4.68,2,-152.468
199996,2022-02-16T06:09:00Z,56.185,4.68,3,-152.474
199996,2022-02-16T06:14:00Z,56.183,4.68,2,-152.484
199996,2022-02-16T07:00:00Z,56.178,4.68,NaN,-152.489
199996,2022-02-16T07:17:00Z,56.173,4.68,NaN,-152.501
199996,2022-02-16T07:34:00Z,56.171,4.68,2,-152.509
199996,2022-02-16T07:49:00Z,56.168,4.68,NaN,-152.516
199996,2022-02-16T08:17:00Z,56.164,4.68,NaN,-152.537
199996,2022-02-16T09:13:00Z,56.15,4.68,1,-152.552
199996,2022-02-16T09:17:00Z,56.147,4.68,1,-152.549
199996,2022-02-16T11:03:00Z,56.127,4.68,NaN,-152.59
199996,2022-02-16T13:10:00Z,56.103,4.68,NaN,-152.602
199996,2022-02-16T14:15:00Z,56.086,4.68,3,-152.638
199996,2022-02-16T14:41:00Z,56.078,4.68,2,-152.649
199996,2022-02-16T15:52:00Z,56.058,4.68,2,-152.676
199996,2022-02-16T16:10:00Z,56.057,4.68,2,-152.681
199996,2022-02-16T16:16:00Z,56.051,4.68,3,-152.687
199996,2022-02-16T16:42:00Z,56.042,4.68,NaN,-152.684
199996,2022-02-16T17:38:00Z,56.029,4.68,NaN,-152.716
199996,2022-02-16T17:55:00Z,56.02,4.68,2,-152.727
199996,2022-02-16T18:07:00Z,56.022,4.68,NaN,-152.725
199996,2022-02-16T18:23:00Z,56.017,4.68,1,-152.754
199996,2022-02-16T18:48:00Z,56.009,4.68,NaN,-152.758
199996,2022-02-16T19:28:00Z,55.992,4.68,1,-152.753
199996,2022-02-16T19:34:00Z,55.992,4.68,3,-152.76
199996,2022-02-16T20:02:00Z,55.982,4.68,3,-152.773
199996,2022-02-16T20:26:00Z,55.976,4.68,1,-152.791
199996,2022-02-16T21:11:00Z,55.955,4.68,NaN,-152.824
199996,2022-02-16T21:14:00Z,55.955,4.68,1,-152.8
199996,2022-02-16T21:27:00Z,55.949,4.68,1,-152.813
199996,2022-02-16T21:42:00Z,55.942,4.68,NaN,-152.803
199996,2022-02-16T22:02:00Z,55.948,4.68,2,-152.858
199996,2022-02-16T22:51:00Z,55.93,4.68,NaN,-152.876
199996,2022-02-16T22:54:00Z,55.953,4.68,1,-152.878
199996,2022-02-16T23:09:00Z,55.937,4.68,1,-152.878
199996,2022-02-17T00:29:00Z,55.905,4.68,NaN,-152.9
199996,2022-02-17T00:55:00Z,55.906,4.68,NaN,-152.92
199996,2022-02-17T02:04:00Z,55.889,4.68,2,-152.963
199996,2022-02-17T02:12:00Z,55.887,4.68,NaN,-152.966
199996,2022-02-17T02:18:00Z,55.897,4.68,NaN,-152.97
199996,2022-02-17T02:29:00Z,55.888,4.68,2,-152.982
199996,2022-02-17T03:36:00Z,55.877,4.68,2,-153.011
199996,2022-02-17T03:44:00Z,55.877,4.68,2,-153.015
199996,2022-02-17T03:49:00Z,55.877,4.68,2,-153.013
199996,2022-02-17T03:58:00Z,55.875,4.68,3,-153.024
199996,2022-02-17T04:04:00Z,55.874,4.68,NaN,-153.031
199996,2022-02-17T04:39:00Z,55.868,4.68,NaN,-153.055
199996,2022-02-17T05:12:00Z,55.859,4.68,3,-153.062
199996,2022-02-17T05:21:00Z,55.855,4.68,3,-153.071
199996,2022-02-17T05:43:00Z,55.855,4.68,3,-153.078
199996,2022-02-17T05:56:00Z,55.85,4.68,3,-153.082
